customer_id,name,tier
1,Customer_1,Silver
2,Customer_2,Silver
3,Customer_3,Gold
4,Customer_4,Bronze
5,Customer_5,Gold
6,Customer_6,Gold
7,Customer_7,Gold
8,Customer_8,Gold
9,Customer_9,Gold
10,Customer_10,Silver
11,Customer_11,Bronze
12,Customer_12,Silver
13,Customer_13,Bronze
14,Customer_14,Bronze
15,Customer_15,Bronze
16,Customer_16,Bronze
17,Customer_17,Gold
18,Customer_18,Bronze
19,Customer_19,Silver
20,Customer_20,Gold
21,Customer_21,Silver
22,Customer_22,Bronze
23,Customer_23,Bronze
24,Customer_24,Bronze
25,Customer_25,Gold
26,Customer_26,Silver
27,Customer_27,Silver
28,Customer_28,Bronze
29,Customer_29,Gold
30,Customer_30,Gold
31,Customer_31,Silver
32,Customer_32,Bronze
33,Customer_33,Gold
34,Customer_34,Bronze
35,Customer_35,Silver
36,Customer_36,Gold
37,Customer_37,Bronze
38,Customer_38,Bronze
39,Customer_39,Bronze
40,Customer_40,Gold
41,Customer_41,Silver
42,Customer_42,Silver
43,Customer_43,Silver
44,Customer_44,Gold
45,Customer_45,Silver
46,Customer_46,Bronze
47,Customer_47,Gold
48,Customer_48,Silver
49,Customer_49,Gold
50,Customer_50,Silver
51,Customer_51,Bronze
52,Customer_52,Gold
53,Customer_53,Silver
54,Customer_54,Bronze
55,Customer_55,Gold
56,Customer_56,Bronze
57,Customer_57,Silver
58,Customer_58,Gold
59,Customer_59,Silver
60,Customer_60,Gold
61,Customer_61,Gold
62,Customer_62,Bronze
63,Customer_63,Gold
64,Customer_64,Bronze
65,Customer_65,Silver
66,Customer_66,Bronze
67,Customer_67,Gold
68,Customer_68,Bronze
69,Customer_69,Bronze
70,Customer_70,Gold
71,Customer_71,Gold
72,Customer_72,Gold
73,Customer_73,Gold
74,Customer_74,Gold
75,Customer_75,Silver
76,Customer_76,Bronze
77,Customer_77,Silver
78,Customer_78,Gold
79,Customer_79,Silver
80,Customer_80,Bronze
81,Customer_81,Gold
82,Customer_82,Gold
83,Customer_83,Silver
84,Customer_84,Bronze
85,Customer_85,Gold
86,Customer_86,Silver
87,Customer_87,Silver
88,Customer_88,Gold
89,Customer_89,Bronze
90,Customer_90,Silver
91,Customer_91,Gold
92,Customer_92,Gold
93,Customer_93,Bronze
94,Customer_94,Gold
95,Customer_95,Silver
96,Customer_96,Silver
97,Customer_97,Bronze
98,Customer_98,Silver
99,Customer_99,Gold
100,Customer_100,Silver
101,Customer_101,Bronze
102,Customer_102,Silver
103,Customer_103,Gold
104,Customer_104,Gold
105,Customer_105,Bronze
106,Customer_106,Bronze
107,Customer_107,Bronze
108,Customer_108,Bronze
109,Customer_109,Gold
110,Customer_110,Bronze
111,Customer_111,Silver
112,Customer_112,Gold
113,Customer_113,Gold
114,Customer_114,Gold
115,Customer_115,Gold
116,Customer_116,Silver
117,Customer_117,Gold
118,Customer_118,Gold
119,Customer_119,Silver
120,Customer_120,Gold
121,Customer_121,Gold
122,Customer_122,Bronze
123,Customer_123,Silver
124,Customer_124,Silver
125,Customer_125,Gold
126,Customer_126,Silver
127,Customer_127,Gold
128,Customer_128,Silver
129,Customer_129,Gold
130,Customer_130,Bronze
131,Customer_131,Gold
132,Customer_132,Bronze
133,Customer_133,Silver
134,Customer_134,Gold
135,Customer_135,Bronze
136,Customer_136,Gold
137,Customer_137,Silver
138,Customer_138,Gold
139,Customer_139,Silver
140,Customer_140,Silver
141,Customer_141,Silver
142,Customer_142,Silver
143,Customer_143,Silver
144,Customer_144,Silver
145,Customer_145,Silver
146,Customer_146,Bronze
147,Customer_147,Gold
148,Customer_148,Gold
149,Customer_149,Gold
150,Customer_150,Silver
151,Customer_151,Bronze
152,Customer_152,Silver
153,Customer_153,Silver
154,Customer_154,Gold
155,Customer_155,Silver
156,Customer_156,Bronze
157,Customer_157,Gold
158,Customer_158,Bronze
159,Customer_159,Bronze
160,Customer_160,Silver
161,Customer_161,Gold
162,Customer_162,Bronze
163,Customer_163,Bronze
164,Customer_164,Silver
165,Customer_165,Gold
166,Customer_166,Bronze
167,Customer_167,Bronze
168,Customer_168,Bronze
169,Customer_169,Gold
170,Customer_170,Silver
171,Customer_171,Silver
172,Customer_172,Silver
173,Customer_173,Gold
174,Customer_174,Silver
175,Customer_175,Silver
176,Customer_176,Silver
177,Customer_177,Gold
178,Customer_178,Bronze
179,Customer_179,Silver
180,Customer_180,Bronze
181,Customer_181,Silver
182,Customer_182,Silver
183,Customer_183,Bronze
184,Customer_184,Gold
185,Customer_185,Silver
186,Customer_186,Silver
187,Customer_187,Silver
188,Customer_188,Silver
189,Customer_189,Bronze
190,Customer_190,Bronze
191,Customer_191,Gold
192,Customer_192,Silver
193,Customer_193,Silver
194,Customer_194,Bronze
195,Customer_195,Bronze
196,Customer_196,Bronze
197,Customer_197,Bronze
198,Customer_198,Bronze
199,Customer_199,Bronze
200,Customer_200,Silver
201,Customer_201,Gold
202,Customer_202,Silver
203,Customer_203,Silver
204,Customer_204,Gold
205,Customer_205,Silver
206,Customer_206,Gold
207,Customer_207,Bronze
208,Customer_208,Silver
209,Customer_209,Bronze
210,Customer_210,Silver
211,Customer_211,Gold
212,Customer_212,Bronze
213,Customer_213,Bronze
214,Customer_214,Gold
215,Customer_215,Bronze
216,Customer_216,Silver
217,Customer_217,Bronze
218,Customer_218,Silver
219,Customer_219,Bronze
220,Customer_220,Bronze
221,Customer_221,Gold
222,Customer_222,Silver
223,Customer_223,Silver
224,Customer_224,Bronze
225,Customer_225,Silver
226,Customer_226,Gold
227,Customer_227,Gold
228,Customer_228,Bronze
229,Customer_229,Bronze
230,Customer_230,Gold
231,Customer_231,Gold
232,Customer_232,Bronze
233,Customer_233,Silver
234,Customer_234,Bronze
235,Customer_235,Bronze
236,Customer_236,Gold
237,Customer_237,Bronze
238,Customer_238,Silver
239,Customer_239,Gold
240,Customer_240,Silver
241,Customer_241,Bronze
242,Customer_242,Bronze
243,Customer_243,Silver
244,Customer_244,Silver
245,Customer_245,Bronze
246,Customer_246,Bronze
247,Customer_247,Bronze
248,Customer_248,Bronze
249,Customer_249,Bronze
250,Customer_250,Bronze
251,Customer_251,Silver
252,Customer_252,Gold
253,Customer_253,Bronze
254,Customer_254,Gold
255,Customer_255,Gold
256,Customer_256,Silver
257,Customer_257,Gold
258,Customer_258,Bronze
259,Customer_259,Gold
260,Customer_260,Gold
261,Customer_261,Silver
262,Customer_262,Silver
263,Customer_263,Silver
264,Customer_264,Bronze
265,Customer_265,Bronze
266,Customer_266,Bronze
267,Customer_267,Bronze
268,Customer_268,Bronze
269,Customer_269,Silver
270,Customer_270,Gold
271,Customer_271,Gold
272,Customer_272,Silver
273,Customer_273,Silver
274,Customer_274,Gold
275,Customer_275,Silver
276,Customer_276,Silver
277,Customer_277,Silver
278,Customer_278,Gold
279,Customer_279,Gold
280,Customer_280,Silver
281,Customer_281,Bronze
282,Customer_282,Bronze
283,Customer_283,Silver
284,Customer_284,Silver
285,Customer_285,Bronze
286,Customer_286,Bronze
287,Customer_287,Gold
288,Customer_288,Silver
289,Customer_289,Silver
290,Customer_290,Gold
291,Customer_291,Silver
292,Customer_292,Silver
293,Customer_293,Bronze
294,Customer_294,Bronze
295,Customer_295,Silver
296,Customer_296,Gold
297,Customer_297,Silver
298,Customer_298,Bronze
299,Customer_299,Bronze
300,Customer_300,Silver
301,Customer_301,Bronze
302,Customer_302,Gold
303,Customer_303,Gold
304,Customer_304,Bronze
305,Customer_305,Gold
306,Customer_306,Silver
307,Customer_307,Bronze
308,Customer_308,Gold
309,Customer_309,Gold
310,Customer_310,Silver
311,Customer_311,Silver
312,Customer_312,Gold
313,Customer_313,Silver
314,Customer_314,Bronze
315,Customer_315,Bronze
316,Customer_316,Gold
317,Customer_317,Bronze
318,Customer_318,Bronze
319,Customer_319,Bronze
320,Customer_320,Silver
321,Customer_321,Bronze
322,Customer_322,Gold
323,Customer_323,Bronze
324,Customer_324,Silver
325,Customer_325,Silver
326,Customer_326,Silver
327,Customer_327,Gold
328,Customer_328,Gold
329,Customer_329,Bronze
330,Customer_330,Gold
331,Customer_331,Silver
332,Customer_332,Gold
333,Customer_333,Gold
334,Customer_334,Silver
335,Customer_335,Bronze
336,Customer_336,Gold
337,Customer_337,Bronze
338,Customer_338,Silver
339,Customer_339,Gold
340,Customer_340,Silver
341,Customer_341,Gold
342,Customer_342,Bronze
343,Customer_343,Silver
344,Customer_344,Gold
345,Customer_345,Gold
346,Customer_346,Gold
347,Customer_347,Silver
348,Customer_348,Gold
